,Wymiar 1,Jednostka miary,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
32,og??em,wol.,,,,,364863.0,367520.0,364650.0,362279,384467,388285,391519,371479,364583,351485,354083,363635,370736,376542,439666,430103,414287,395134,386062,393186,402627,301171,355084,368414,386173,396144
33,og??em,szt.,,,,,,,,,,,,,,,,,,,,,,5504,9760,11881,13880,9677,11517,11956,11847,13185
34,og??em,ob.,,,,,1.0,3.0,4.0,4,4,5,5,5,5,4,3,2,2,2,2,3,3,3,3,3,2,2,1,1,0,0
35,og??em,ob.,,,,,2.0,2.0,2.0,3,3,3,4,4,4,4,4,,,,,,,,,,,,,,,
36,og??em,ob.,,,,,,,,,,,,,,,,5,6,9,9,9,9,10,9,9,9,,,,,
37,og??em,ob.,,,,,,,,,,,,,,,,1,2,4,4,4,4,5,5,5,5,,,,,
38,og??em,ob.,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,8,8,9
39,og??em,ob.,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,8,8,9
40,og??em,ob.,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,5,5,6
41,prowadzone przez gmin? / miasto na prawach powiatu,ob.,,,,,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,
42,prowadzone przez gmin? / miasto na prawach powiatu,ob.,,,,,,,15.0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,12,12,12,12,12,12,12,12
43,prowadzone przez gmin? / miasto na prawach powiatu,osoba,,,,,0.0,50.0,50.0,50,50,50,49,51,52,54,56,79,80,79,81,80,83,81,83,80,66,63,62,65,63,64
44,prowadzone przez gmin? / miasto na prawach powiatu,wol.,,,,,0.0,402887.0,383522.0,394872,398798,401799,405253,407749,377987,375014,373020,375007,361442,350637,346622,351215,356278,349295,346907,337682,341612,338035,337429,332922,329259,327463
45,prowadzone przez gmin? / miasto na prawach powiatu,osoba,,,,,0.0,26953.0,27138.0,27095,27424,27309,27068,25906,24533,23350,24659,24529,25130,25434,29443,28661,27206,25101,24313,24736,23539,19575,19528,19369,21338,21185
46,prowadzone przez gmin? / miasto na prawach powiatu,wol.,,,,,0.0,367520.0,364650.0,362279,384467,388285,391519,371479,364583,351485,354083,363635,370736,376542,439666,430103,414287,395134,386062,393186,402627,301171,355084,368414,386173,396144
47,prowadzone przez gmin? / miasto na prawach powiatu,szt.,,,,,,,,,,,,,,,,,,,,,,5504,9760,11881,13880,9677,11517,11956,11847,13185
48,prowadzone przez gmin? / miasto na prawach powiatu,ob.,,,,,0.0,3.0,4.0,4,4,5,5,5,5,4,3,2,2,2,2,3,3,3,3,3,2,2,1,1,0,0
49,prowadzone przez gmin? / miasto na prawach powiatu,ob.,,,,,0.0,2.0,2.0,3,3,3,4,4,4,4,4,,,,,,,,,,,,,,,
50,prowadzone przez gmin? / miasto na prawach powiatu,ob.,,,,,,,,,,,,,,,,5,6,9,9,9,9,10,9,9,9,,,,,
51,prowadzone przez gmin? / miasto na prawach powiatu,ob.,,,,,,,,,,,,,,,,1,2,4,4,4,4,5,5,5,5,,,,,
52,prowadzone przez gmin? / miasto na prawach powiatu,ob.,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,8,8,9
53,prowadzone przez gmin? / miasto na prawach powiatu,ob.,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,8,8,9
54,prowadzone przez gmin? / miasto na prawach powiatu,ob.,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,5,5,6
55,prowadzone przez powiat,ob.,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
