Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Jednostka miary;"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, ośr. inf. naukowej, technicznej i ekonomicznej";"biblioteki, które umożliwiają podłączenie komputera (urządzenia mobilnego) użytkownika do gniazda internetowego";"szt.";;;;;;;;;;;;;;;;;;;;3;4;4;4;3;;;;;;;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, ośr. inf. naukowej, technicznej i ekonomicznej";"biblioteki, które umożliwiają korzystanie z Internetu bezprzewodowego";"ob.";;;;;;;;;;;;;;;;;;;;3;5;5;5;4;3;5;5;5;5;5;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, ośr. inf. naukowej, technicznej i ekonomicznej";"biblioteki, które posiadają dostęp do Internetu szerokopasmowego";"ob.";;;;;;;;;;;;;;;;;;;;3;7;5;5;6;7;7;7;7;7;7;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, ośr. inf. naukowej, technicznej i ekonomicznej";"biblioteki, które oferują katalog on-line";"ob.";;;;;;;;;;;;;;;;;;;;6;6;6;7;6;6;6;6;6;5;6;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, ośr. inf. naukowej, technicznej i ekonomicznej";"biblioteki, które oferują możliwość zdalnego składania zamówień na materiały biblioteczne";"ob.";;;;;;;;;;;;;;;;;;;;5;5;5;5;5;5;6;6;6;6;6;
"KULTURA ";"BIBLIOTEKI";"Udostępnianie zbiorów czytelnikom w bibliotekach innych niż publiczne (Wymiary: Udostępnienia; Rodzaj zbioru)";"na zewnątrz";"księgozbioru";"wol.";;;;;;;;;;;;;160938;;118851;;108121;82812;93533;66605;71437;64485;60502;55290;52622;46976;45393;49521;54067;61992;
"KULTURA ";"BIBLIOTEKI";"Udostępnianie zbiorów czytelnikom w bibliotekach innych niż publiczne (Wymiary: Udostępnienia; Rodzaj zbioru)";"na zewnątrz";"zbiorów specjalnych";"szt.";;;;;;;;;;;;;1121;;3780;;7015;56936;3974;4470;5044;5558;4926;5139;5248;3711;3311;3591;3573;3264;
"KULTURA ";"BIBLIOTEKI";"Udostępnianie zbiorów czytelnikom w bibliotekach innych niż publiczne (Wymiary: Udostępnienia; Rodzaj zbioru)";"na miejscu";"księgozbioru";"wol.";;;;;;;;;;;;;265345;;235057;;222749;204555;153821;128881;120105;96926;78378;66238;43180;14659;11800;17442;22833;45302;
"KULTURA ";"BIBLIOTEKI";"Udostępnianie zbiorów czytelnikom w bibliotekach innych niż publiczne (Wymiary: Udostępnienia; Rodzaj zbioru)";"na miejscu";"zbiorów specjalnych";"szt.";;;;;;;;;;;;;1497;;2979;;234;226;928;121;191;70;735;730;19;0;2;0;3;2;
"KULTURA ";"BIBLIOTEKI";"Wypożyczenia międzybiblioteczne w bibliotekach innych niż publiczne (Wymiary: Wypożyczenia; Rodzaj zbioru)";"wypożyczenia do bibliotek krajowych";"księgozbioru";"wol.";;;;;;;;;;;;;157;;33;;63;44;38;27;35;14;53;36;63;49;61;80;174;304;
"KULTURA ";"BIBLIOTEKI";"Wypożyczenia międzybiblioteczne w bibliotekach innych niż publiczne (Wymiary: Wypożyczenia; Rodzaj zbioru)";"wypożyczenia do bibliotek zagranicznych";"księgozbioru";"wol.";;;;;;;;;;;;;4;;7;;0;0;0;0;0;0;0;0;0;0;0;0;2;1;
"KULTURA ";"BIBLIOTEKI";"Wypożyczenia międzybiblioteczne w bibliotekach innych niż publiczne (Wymiary: Wypożyczenia; Rodzaj zbioru)";"wypożyczenia z bibliotek zagranicznych";"księgozbioru";"wol.";;;;;;;;;;;;;0;;0;;376;0;0;0;0;0;0;0;0;0;0;0;0;0;
"KULTURA ";"BIBLIOTEKI";"Wypożyczenia międzybiblioteczne w bibliotekach innych niż publiczne (Wymiary: Wypożyczenia; Rodzaj zbioru)";"wypożyczenia z bibliotek zagranicznych";"pozostałych zbiorów nieelektronicznych";"-";;;;;;;;;;;;;;;;;22;0;0;0;0;0;0;0;;;;;;;
