﻿Wskaźnik;Jednostka;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
obiekty/miejsca sprawowania kultu (kościoły, kaplice, domy modlitwy: własne i wynajęte);szt.;.;.;.;18;17;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;46;28;29;30;30;31;31;31;31;32;33
jednostki kościelne (zbory);szt.;.;.;.;24;24;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;21;21;21;26;26;26;26;26;27;26;27
Kościół Zielonoświątkowy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;10 156;10 973;12 467;12 886;14 577;16 084;17 379;17 816;17 966;18 655;19 062
duchowni (księża);osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;133;174;193;224;214;230;288;301;311;305;285
obiekty/miejsca sprawowania kultu (kościoły, kaplice, domy modlitwy: własne i wynajęte);szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;101;101;100;90;99;87;85;89;90;102;97
jednostki kościelne (zbory);szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;88;102;117;128;140;152;161;166;168;168;175
Misja "Centrum Służby Życia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;70;30;30;30;35;28;40;30;40
duchowni;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;1;1;1;1;1;1;1;1;1
obiekty/miejsca sprawowania kultu;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;1;1;1;1;1;1;1;1;1
jednostki kościelne;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;1;1;1;1;1;1;1;1;1
Nowoapostolski Kościół w Polsce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;321;.;.;.;.;368;.;.;.;346;348;347;.;.;.;.;.;572;620;682;717;781;814;861;1156;997;1160;1462;5218;5277;5330;5438;5466;5443
duchowni;osoba;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;9;.;.;.;.;9;.;.;.;.;13;13;.;.;.;.;.;30;32;33;35;35;35;35;36;34;33;37;47;50;50;50;50;50
obiekty/miejsca sprawowania kultu (kaplice własne i wynajęte);szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;7;.;.;.;.;6;.;.;.;.;7;7;.;.;.;.;.;10;11;8;8;8;8;8;8;8;8;9;11;11;11;14;14;14
jednostki kościelne (zbory i placówki);szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;7;.;.;.;.;6;.;.;.;.;7;7;.;.;.;.;.;10;11;15;12;18;18;18;18;25;25;31;32;52;52;52;52;52
Ruch Nowego Życia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie (pracownicy misyjni);osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;.;.;64;73;79;76;73;80;82
duchowni (pracownicy misyjni);osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;.;.;64;73;79;76;73;80;82
Stowarzyszenie Badaczy Pisma Świętego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;.;.;.;773;837;755;.;.;779;779;.;785;786;798;.;785;790;.;830;848;848;.;868;873;.;701;662;519;667;.;501;440;469;466;445;364;405;411;436;404;388;.;312;388;250;250;230;250;323;281;286
duchowni (kaznodzieje);osoba;.;.;.;30;32;33;.;.;32;32;.;30;30;30;.;30;27;22;22;22;22;22;23;23;23;22;25;26;26;26;23;21;21;20;33;34;43;48;50;40;38;.;38;38;39;39;40;45;53;52;52
obiekty/miejsca sprawowania kultu (kaplice, domy modlitwy: wynajęte);szt.;.;.;.;38;38;36;.;.;35;38;38;38;38;39;.;37;37;40;40;41;41;41;43;43;45;.;.;43;.;.;.;.;.;.;5;5;6;6;6;6;6;.;6;6;5;5;.;.;.;.;.
jednostki kościelne (zbory);szt.;.;.;.;39;40;38;.;.;35;38;39;38;38;39;37;37;37;40;40;41;41;41;43;44;45;41;40;41;35;41;33;29;26;26;26;25;26;27;27;25;25;.;25;25;16;16;14;15;21;21;21
Stowarzyszenie Zborów Chrześcijan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;.;40;.;86;.;.;.;48;51;.;160;.;.;.;.;.;.;.;.;90;95;224;220;210;205;209;209;209;.;243;.;250;260;270;270;300
obiekty/miejsca sprawowania kultu (kaplice);szt.;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;—;—;—;—;.;.;.;—;—;.;—;.;.;.;.;.;.;.;.;—;—;—;—;—;—;5;5;5;5;2;.;2;2;2;2;2
jednostki kościelne (zbory);szt.;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;3;.;4;.;.;.;.;.;.;.;4;.;.;.;.;.;.;.;.;.;.;3;5;3;3;3;3;3;3;.;.;2;3;3;3;3
Świecki Ruch Misyjny "Epifania";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;1481;.;1409;1355;1419;1427;.;.;1567;1671;1692;1776;1782;1973;.;1979;1974;.;1993;2015;2144;2160;2223;2121;.;2131;2137;2133;2079;2039;1992;2006;2033;2019;2024;2021;2026;2070;2018;2074;2159;2080;1970;1957;1960;1878;1882;1811;1786;1806;1791
duchowni (starsi i diakoni);osoba;.;.;.;.;123;.;.;.;.;182;227;198;199;218;.;234;254;254;257;270;274;281;289;285;284;297;303;293;405;427;420;420;426;431;426;435;449;427;426;431;436;419;415;407;402;406;421;430;429;426;425
obiekty/miejsca sprawowania kultu (kaplice, domy modlitwy: własne, wynajęte i w mieszkaniach prywatnych);szt.;.;.;.;.;54;56;.;.;.;.;78;63;71;73;.;78;108;110;110;132;142;136;135;134;140;132;157;153;146;156;148;150;151;163;146;151;148;146;153;150;147;145;139;129;129;128;123;134;123;129;131
jednostki kościelne (zbory);szt.;54;.;.;51;55;56;.;.;.;62;60;63;71;73;74;78;77;78;78;82;87;88;90;87;87;87;87;86;80;80;78;77;79;78;78;79;79;79;79;80;81;78;78;78;79;78;79;75;73;75;74
Uczniowie Ducha Świętego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;.;.;.;.;.;.;.;.;.;1000;1000;.;1000;.;1018;.;.;.;.;.
duchowni;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;.;.;.;.;.;.;.;.;.;—;—;.;—;.;2;.;.;.;.;.
obiekty/miejsca sprawowania kultu (mieszkania prywatne);szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;.;.;.;.;.;.;.;.;.;1;1;.;1;.;1;.;.;.;.;.
jednostki kościelne;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;.;.;.;.;.;.;.;.;.;—;—;.;.;.;1;.;.;.;.;.
Urząd Apostolski Jezusa Chrystusa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;—;.;.;.;.;.;.;.;.;60;28;28;.;37;.;32;.;.;.;.;.;.;.;10;.;.;10;.;.;.;.;.;15;.;50;50;80;90;90;90;90;80;100;28;28;39;39;37;38
duchowni;osoba;—;—;—;.;.;.;.;.;.;.;.;.;.;.;.;.;.;6;.;.;.;.;.;.;.;2;.;.;.;.;.;.;.;.;2;.;5;5;7;7;7;7;7;7;7;7;7;6;6;5;5
obiekty/miejsca sprawowania kultu;szt.;—;—;—;.;.;.;.;.;.;.;.;.;.;.;.;.;.;—;.;.;.;.;.;.;.;—;.;.;.;.;.;.;.;.;—;.;—;—;—;—;—;1;1;—;.;.;.;.;.;.;.
jednostki kościelne (zbory);szt.;—;—;—;.;.;.;.;.;.;.;.;.;.;3;3;3;2;3;2;2;2;2;2;.;.;2;.;.;.;.;.;.;.;.;2;.;—;1;—;2;2;2;2;1;—;1;1;1;1;2;.
Wspólnota Chrześcijańska "Pojednanie";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;40;52;43;48;36;37;35
duchowni;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;10;12;14;.;.;2;.
jednostki kościelne;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;1;.;.
Zbory Boże Chrześcijan Dnia Siódmego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;40;46;52;58;49;96;.
duchowni;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;6;5;7;5;9;16;.
obiekty/miejsca sprawowania kultu;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;1;1;—;1;1;4;.
jednostki kościelne;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;4;4;5;5;7;11;.
Zbór Chrześcijański;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;22;20;23;22;27;25;25;21;20
duchowni;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;—;4;2;4;5;5;4;3;3
obiekty/miejsca sprawowania kultu;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;—;1;—;.;.;.;.;.;1
jednostki kościelne;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;1;1;1;1;1;1;1;1;1
Zbór Ewangeliczny "Agape" w Poznaniu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;150;150;150;150;100;100;100
duchowni;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;7;11;11;11;8;10;10
obiekty/miejsca sprawowania kultu;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;2;2;2;2;1;1;1
jednostki kościelne;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;2;2;2;2;1;1;1
Zbór Ewangelicznych Chrześcijan w Duchu Apostolskim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;101;111;106;111;100;.;.;.;.
duchowni;osoba;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;1;1;.;5;.;.;.;.
obiekty/miejsca sprawowania kultu;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;—;1;—;—;—;.;.;.;.
jednostki kościelne;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;1;1;1;1;.;.;.;.
Zbór Ewangeliczny "Syjon";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;19;.;51;57;85;63;23;21;17
duchowni;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;3;3;4;4;6;6;3;3;3
obiekty/miejsca sprawowania kultu;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;1;1;1;—;—;—;—;—;—
jednostki kościelne;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;1;1;2;3;2;2;1;1;.
Zbór Stanowczych Chrześcijan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;300;250;.;250;250;300;300;300
duchowni;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;9;—;.;—;—;—;7;7
obiekty/miejsca sprawowania kultu;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;1;1;.;1;.;—;.;—
jednostki kościelne;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;1;1;1;1;1;1;1;1;1;3
Zbór Wolnych Chrześcijan w Jaworznie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;30;30;.;30;.;.
duchowni;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;1;2;1;2;.;.
obiekty/miejsca sprawowania kultu;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;1;1;1;1;.;.
jednostki kościelne;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;1;1;1;1;.;.
Zbór w Wodzisławiu Śląskim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;87;79;79;75;67;67;71
duchowni;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;—;79;79;75;3;3;3
obiekty/miejsca sprawowania kultu;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;1;1;1;1;—;—;—
jednostki kościelne;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;1;1;1;1;1;1;1;1;1;1
Zjednoczony Kościół Ewangeliczny w PRL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;.;.;.;3722;.;5100;.;.;6143;.;7051;.;7301;7439;.;7626;7626;.;7800;8055;8146;.;8146;8150;.;8293;8517;8579;8600;8720;8872;8960;10 070;.;13 907;15 062;16 019;17 078;17 972;.;—;—;—;—;—;—;—;—;—;—;—
duchowni;osoba;.;.;.;58;.;131;.;.;112;.;.;.;.;147;.;158;152;155;159;175;177;177;177;179;180;173;180;196;206;215;240;245;256;256;248;227;249;272;287;.;—;—;—;—;—;—;—;—;—;—;—
obiekty/miejsca sprawowania kultu (kościoły, kaplice, domy modlitwy: własne i wynajęte);szt.;.;.;.;22;.;46;.;.;48;.;.;.;.;86;.;87;87;90;90;94;94;95;97;78;78;58;60;64;65;68;73;72;79;79;114;114;122;122;126;.;—;—;—;—;—;—;—;—;—;—;—
jednostki kościelne (zbory);szt.;.;.;.;62;.;188;.;.;176;77;80;.;84;85;.;86;86;185;89;94;94;205;97;202;200;201;103;108;111;113;120;123;124;244;114;117;121;122;128;.;—;—;—;—;—;—;—;—;—;—;—
Zrzeszenie Wolnych Badaczy Pisma Świętego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;3104;.;3166;3169;3108;3078;.;.;3038;3291;3189;3317;3169;2932;.;3239;3372;.;3391;3392;3395;.;3384;3306;.;3384;3251;3207;3181;3158;2044;2043;2041;2008;1982;1970;1945;2709;2674;2705;2649;2657;2606;2581;2513;2565;2458;2364;2419;2418;2312
duchowni (starsi i diakoni);osoba;114;.;203;290;290;307;.;.;186;316;325;349;317;296;.;340;350;334;320;321;320;320;312;311;311;312;289;301;305;301;298;305;306;331;333;339;309;308;328;300;295;284;280;273;273;274;185;171;177;176;241
obiekty/miejsca sprawowania kultu (domy modlitwy);szt.;.;.;.;.;120;121;.;.;121;119;117;116;147;5;.;7;9;9;9;9;14;15;15;15;16;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;131;3;2;3;6;3;4;4;4
jednostki kościelne (zbory);szt.;126;.;115;119;120;121;.;.;121;119;117;116;117;110;108;140;144;114;102;137;109;134;106;129;121;100;101;97;97;95;93;93;94;93;94;93;92;92;92;92;91;92;91;88;86;85;84;82;82;79;77
Związek Badaczy Biblii;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;66;60;90;80;86;86;77;86;77;72;.;.;—
duchowni (kaznodzieje);osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;5;6;14;16;10;16;15;16;15;9;.;.;—
obiekty/miejsca sprawowania kultu (domy modlitwy w mieszkaniach prywatnych);szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;12;12;13;12;12;—;—;—;.;—;.;.;—
jednostki kościelne (zbory);szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;12;12;13;12;12;12;12;12;.;7;.;.;—
Związek Wyznaniowy "Misja Łaski";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie (pieczętowani Duchem Świętym);osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;.;.;85;85;205;205;.;117;129;130
duchowni;osoba;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;.;.;4;4;8;8;.;6;7;5
jednostki kościelne (kościół lokalny);szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;.;.;.;.;.;.;.;4;5;4
